rule,entropy_mean,entropy_std,entropy_ci95,sens_mean,sens_std,sens_ci95,lyap_mean,lyap_std,lyap_ci95,lyap_bad_frac,glider_heuristic,runs,N,T,seed,cluster
74,0.9064103099936012,0.0170507887865507,0.0074728376681568,0.0135771144278606,0.0139771629481619,0.0061257617509975,0.0044007895333078,0.0028227504985465,0.0013418504107137,0.15,1,20,200,200,12345,1
75,0.9962613984984634,0.0005975050809467,0.000261868147668,0.2877363184079602,0.0256573909346228,0.0112448473700002,0.0231295558830547,0.0003251102536748,0.0001424858509702,0.0,0,20,200,200,12345,2
76,0.9544622036761284,0.0137428698227668,0.0060230782614088,0.0057462686567164,0.0018226246195647,0.000798800459175,0.0017328679513998,0.0017831064114232,0.0008237531349284,0.0999999999999999,0,20,200,200,12345,1
77,0.9992871751811704,0.0009276247876274,0.0004065494882187,0.0079800995024875,0.0067190194063719,0.0029447400904184,0.0036989833075118,0.0034310863072942,0.0016812322905741,0.1999999999999999,0,20,200,200,12345,1
78,0.9887185344605806,0.0041804016636221,0.0018321418094499,0.0089527363184079,0.0078021546376419,0.0034194450355836,0.0075251115706058,0.001987696021761,0.0011746532842607,0.4499999999999999,0,20,200,200,12345,1
79,0.9885874636245042,0.0033838996754285,0.0014830594218463,0.0089539800995024,0.0110441051855737,0.0048402925093377,0.0074335973546435,0.00222289958697,0.0012577238414203,0.4,0,20,200,200,12345,1
80,0.8182738484155481,0.0191514205984059,0.0083934801514501,0.0062437810945273,0.0031774446450671,0.0013925765153381,0.0009241962407465,0.0015863980094331,0.0008028281612761,0.25,1,20,200,200,12345,1
81,0.9871080244752936,0.0096843574298531,0.0042443567801851,0.0092139303482587,0.0096543169197238,0.0042311909461304,0.0046144193883295,0.0031003044665901,0.0017541623859885,0.4,0,20,200,200,12345,1
82,0.960839959460527,0.0116675987403517,0.0051135506078529,0.0219291044776119,0.0147695397070086,0.0064730361771257,0.0050592301167407,0.0047153513972182,0.0021202805704507,0.05,1,20,200,200,12345,1
83,0.9913097647317446,0.0091857899539668,0.0040258499497644,0.0073681592039801,0.0055387917510883,0.0024274825142551,0.0044419478890715,0.0020220389002678,0.0010991928672585,0.35,1,20,200,200,12345,1
84,0.9966850210224892,0.0044649741992834,0.0019568612221665,0.0147338308457711,0.027435335497351,0.0120240659308876,0.0107423683846006,0.0078506907908955,0.004441946472619,0.4,0,20,200,200,12345,1
85,0.9962770596887582,0.0084183803250236,0.0036895178507711,0.005,8.898943666030574e-19,3.900134021176368e-19,0.0,0.0,0.0,0.0,1,20,200,200,12345,1
